feature,importance_mean,importance_std
MUKAVEMET,0.7787680742938732,0.15367803141584854
SARI_SKORU,0.06085708052884738,0.03503710671880238
YasHafta,0.04914334006910927,0.009695069215558141
SARI_YUKSEKLIGI,0.04245100150240516,0.014991886793873786
Sari_Indeksi,0.03117560787259579,0.013963096730303638
PH,0.02979362807992928,0.03854089609309688
GENISLIK,0.015373887394831798,0.009702268987153888
AK_UZUNLUGU,0.013615241511417664,0.008254356641906872
Genotip,0.004688465444711698,0.004266282148754621
Tekerrur,0.00383012447415908,0.00415087699521167
Ornek,0.003640736853966364,0.00896991380001576
AK_GENISLIGI,0.002824972355769129,0.015861261116045938
Sekil_Indeksi,0.0015892664513239673,0.00963807490427491
SARI,0.0010990648287257487,0.005285719173374201
AK,-0.00020821131310088113,0.0010833758801640633
AGIRLIK,-0.0006272494741582646,0.005383066505741015
Haugh_Birimi,-0.0009434094050470466,0.004121594751356883
Yerlesim_Sikligi,-0.0026290064603360476,0.0034263154335833243
SARI_GENISLIGI,-0.005323006685696641,0.011700494936193252
Ak_Indeksi,-0.005890143479567201,0.004579003533740465
UZUNLUK,-0.006031658879206592,0.00581099519604629
AK_YUKSEKLIGI,-0.007075265399639907,0.003963772094887638
GRUP,-0.007635464693508287,0.0069468546136710095
