,count,mean,std,min,25%,50%,75%,max
YasHafta,270.0,41.2,5.957470085038311,33.0,37.0,41.0,45.0,50.0
Yerlesim_Sikligi,270.0,21.11111111111111,3.9356660379571866,15.0,20.0,20.0,25.0,25.0
Tekerrur,270.0,2.0,0.8180128247238178,1.0,1.0,2.0,3.0,3.0
Ornek,270.0,2.111111111111111,0.9956535031772324,1.0,1.0,2.0,3.0,4.0
AGIRLIK,270.0,63.30481481481481,3.958935937521662,53.6,60.425,63.3,66.0,73.2
UZUNLUK,270.0,57.374111111111105,1.970155520691835,52.09,56.1875,57.19,58.6725,68.29
GENISLIK,270.0,44.2717037037037,1.0316969388304784,41.4,43.53,44.265,44.9875,46.95
Sekil_Indeksi,270.0,77.22855653241974,2.520892293734491,64.7825450285547,75.63287193963657,77.34170522374708,78.73443985928677,83.69114198087678
MUKAVEMET,270.0,5001.696296296296,828.6182368944776,2031.0,4491.25,5004.0,5504.0,7507.0
KUT,270.0,39.27037037037037,2.9777757741644355,30.0,38.0,40.0,41.0,50.0
ORTA,270.0,40.08888888888889,2.755101160386911,31.0,38.0,40.0,42.0,49.0
SIVRI,270.0,40.162962962962965,2.993692023523572,30.0,38.0,40.0,42.0,48.0
Ortalama,270.0,39.84074074074074,2.570233337259118,31.333333333333332,38.333333333333336,40.0,41.333333333333336,48.0
AK_UZUNLUGU,270.0,88.67055555555557,7.6132724101126446,59.34,83.855,87.945,93.0175,135.75
AK_GENISLIGI,270.0,71.31562962962964,6.295104205864077,57.68,66.69,70.495,75.4025,96.62
AK_YUKSEKLIGI,270.0,8.120962962962963,1.2253541323031993,4.84,7.3325,8.02,8.96,11.09
Ak_Indeksi,270.0,10.237739401095812,1.9002587563962203,4.519985057900635,9.054536771820477,10.022745818455007,11.395256021294804,15.150602409638553
Haugh_Birimi,270.0,88.69098356070656,7.04086443002239,65.84276120890087,84.7306529110347,89.03634741017758,93.66166572886675,102.50178499999718
SARI_GENISLIGI,270.0,41.532296296296295,2.445622883305361,35.92,40.2225,41.24,42.86,61.07
SARI_YUKSEKLIGI,270.0,17.41574074074074,1.3572312208352189,10.12,16.7,17.6,18.2875,20.14
Sari_Indeksi,270.0,42.062808832189845,3.998004898977024,22.83908824193184,39.63288263552458,42.289617320542476,44.62016157220932,51.75838926174497
SARI_SKORU,270.0,11.366666666666667,1.1418044806878973,8.0,11.0,11.0,12.0,14.0
PH,270.0,8.787037037037036,0.1801922726665455,8.0,8.69,8.81,8.91,9.22
AK,270.0,0.12222222222222222,0.42665233866896557,0.0,0.0,0.0,0.0,3.0
SARI,270.0,0.18518518518518517,0.5743615842998924,0.0,0.0,0.0,0.0,2.0
